timestamp,id_equipo,t_ambiente_C,t_interior_C,delta_t_cond_C,eta_compresor,cop,temp_descarga_C,trabajo_kW,calor_extraido_kW,calidad_evap,estado
2025-12-18 19:06:33,CAMARA_01_CARNES,14.6,-18.5,15.0,0.761,3.23,47.6,5.44,17.597,0.307,NORMAL
2025-12-18 19:06:33,CAMARA_02_LACTEOS,14.6,3.6,17.6,0.729,6.19,41.9,2.018,12.484,0.202,NORMAL
2025-12-18 19:06:33,CAMARA_03_VERDURAS,14.6,4.1,18.0,0.74,6.18,42.0,2.013,12.435,0.205,NORMAL
2025-12-18 20:06:33,CAMARA_01_CARNES,10.6,-17.9,15.0,0.761,3.63,42.6,5.04,18.286,0.28,NORMAL
2025-12-18 20:06:33,CAMARA_02_LACTEOS,10.6,3.7,15.0,0.749,8.6,33.0,1.539,13.241,0.153,NORMAL
2025-12-18 20:06:33,CAMARA_03_VERDURAS,10.6,4.2,15.0,0.73,8.39,33.5,1.578,13.241,0.153,NORMAL
2025-12-18 21:06:33,CAMARA_01_CARNES,9.7,-17.7,15.0,0.731,3.58,43.2,5.15,18.44,0.274,NORMAL
2025-12-18 21:06:33,CAMARA_02_LACTEOS,9.7,3.5,16.8,0.721,7.91,34.9,1.661,13.135,0.16,NORMAL
2025-12-18 21:06:33,CAMARA_03_VERDURAS,9.7,4.3,18.0,0.763,7.92,35.2,1.643,13.005,0.169,NORMAL
2025-12-18 22:06:33,CAMARA_01_CARNES,13.5,-18.2,20.1,0.742,2.83,53.7,5.977,16.892,0.335,ADVERTENCIA
2025-12-18 22:06:33,CAMARA_02_LACTEOS,13.5,3.9,17.4,0.727,6.5,40.4,1.943,12.628,0.193,NORMAL
2025-12-18 22:06:33,CAMARA_03_VERDURAS,13.5,3.7,15.0,0.766,7.64,36.2,1.69,12.909,0.175,NORMAL
2025-12-18 23:06:33,CAMARA_01_CARNES,16.2,-17.7,22.7,0.738,2.45,60.3,6.513,15.96,0.371,ADVERTENCIA
2025-12-18 23:06:33,CAMARA_02_LACTEOS,16.2,4.0,22.9,0.757,4.94,49.4,2.364,11.674,0.254,ADVERTENCIA
2025-12-18 23:06:33,CAMARA_03_VERDURAS,16.2,4.2,15.0,0.746,6.6,40.1,1.91,12.597,0.195,NORMAL
2025-12-19 00:06:33,CAMARA_01_CARNES,11.8,-18.1,17.9,0.72,3.05,50.2,5.756,17.575,0.308,NORMAL
2025-12-19 00:06:33,CAMARA_02_LACTEOS,11.8,3.7,15.0,0.759,8.21,34.2,1.595,13.104,0.162,NORMAL
2025-12-19 00:06:33,CAMARA_03_VERDURAS,11.8,3.6,17.9,0.728,6.87,38.8,1.858,12.772,0.183,NORMAL
2025-12-19 01:06:33,CAMARA_01_CARNES,7.1,-18.1,15.0,0.746,3.95,39.0,4.778,18.883,0.256,NORMAL
2025-12-19 01:06:33,CAMARA_02_LACTEOS,7.1,4.4,15.0,0.74,10.33,28.7,1.32,13.639,0.128,NORMAL
2025-12-19 01:06:33,CAMARA_03_VERDURAS,7.1,3.9,15.0,0.736,10.28,28.7,1.326,13.639,0.128,NORMAL
2025-12-19 02:06:33,CAMARA_01_CARNES,10.0,-18.3,15.0,0.734,3.56,43.4,5.165,18.389,0.276,NORMAL
2025-12-19 02:06:33,CAMARA_02_LACTEOS,10.0,3.9,16.7,0.74,8.05,34.6,1.629,13.116,0.161,NORMAL
2025-12-19 02:06:33,CAMARA_03_VERDURAS,10.0,4.2,15.0,0.756,8.97,32.0,1.484,13.31,0.149,NORMAL
2025-12-19 03:06:33,CAMARA_01_CARNES,10.2,-18.0,15.0,0.73,3.52,43.9,5.213,18.355,0.277,NORMAL
2025-12-19 03:06:33,CAMARA_02_LACTEOS,10.2,3.8,15.0,0.749,8.78,32.5,1.513,13.287,0.151,NORMAL
2025-12-19 03:06:33,CAMARA_03_VERDURAS,10.2,4.4,15.0,0.738,8.66,32.7,1.534,13.287,0.151,NORMAL
2025-12-19 04:06:33,CAMARA_01_CARNES,11.1,-17.7,15.0,0.731,3.43,45.0,5.302,18.201,0.283,NORMAL
2025-12-19 04:06:33,CAMARA_02_LACTEOS,11.1,4.0,15.0,0.754,8.44,33.5,1.562,13.184,0.157,NORMAL
2025-12-19 04:06:33,CAMARA_03_VERDURAS,11.1,4.3,15.0,0.747,8.36,33.7,1.577,13.184,0.157,NORMAL
2025-12-19 05:06:33,CAMARA_01_CARNES,12.5,-17.7,15.0,0.741,3.34,46.1,5.371,17.96,0.293,NORMAL
2025-12-19 05:06:33,CAMARA_02_LACTEOS,12.5,3.5,15.0,0.765,8.0,34.9,1.628,13.024,0.167,NORMAL
2025-12-19 05:06:33,CAMARA_03_VERDURAS,12.5,4.3,17.9,0.751,6.87,39.0,1.847,12.687,0.189,NORMAL
2025-12-19 06:06:33,CAMARA_01_CARNES,8.9,-18.5,15.0,0.721,3.62,42.8,5.138,18.577,0.268,NORMAL
2025-12-19 06:06:33,CAMARA_02_LACTEOS,8.9,4.4,15.0,0.732,9.22,31.2,1.458,13.435,0.141,NORMAL
2025-12-19 06:06:33,CAMARA_03_VERDURAS,8.9,3.7,15.0,0.732,9.21,31.2,1.458,13.435,0.141,NORMAL
2025-12-19 07:06:33,CAMARA_01_CARNES,8.9,-18.2,15.0,0.726,3.64,42.5,5.103,18.577,0.268,NORMAL
2025-12-19 07:06:33,CAMARA_02_LACTEOS,8.9,4.5,15.0,0.738,9.29,31.1,1.447,13.435,0.141,NORMAL
